Sr.No	Round	Institute	Program	Quota	Category	Opening Rank	Closing Rank
1	Round 1	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Home State	OPDFHS	258845	272986
2	Round 1	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Home State	OPNOHS	62808	142454
3	Round 1	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Home State	OPPHHS	1080773	1080773
4	Round 1	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Home State	SCNOHS	297154	591996
5	Round 1	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Home State	STNOHS	839650	839650
6	Round 1	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Other State	OPDFOS	1105726	1105726
7	Round 1	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Other State	OPNOOS	58557	66003
8	Round 1	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Other State	OPPHOS	670115	670115
9	Round 1	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Other State	SCNOOS	201768	278109
10	Round 1	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Other State	STNOOS	576006	614745
11	Round 1	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	CSE- DS	Home State	OPDFHS	286415	301823
12	Round 1	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	CSE- DS	Home State	OPNOHS	89951	148663
13	Round 1	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	CSE- DS	Home State	SCNOHS	535946	649445
14	Round 1	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	CSE- DS	Other State	OPNOOS	61784	66782
